IC_01,IC_02,IC_03,IC_04,IC_05,IC_06,IC_07,IC_08,IC_09,IC_10,IC_11,IC_12,IC_13,IC_14,IC_15,IC_16,IC_17,IC_18,IC_19,IC_20,Subject
8.373944341,7.893246267,7.707928032000001,8.438261649,8.479990273,7.219065838,7.840270287,7.82188964,8.113511337,6.875021291,6.885538342,7.3462964820000005,7.480561183,5.345116123,4.690229621,4.416213213,2.093882986,2.510589298,1.4905405090000001,-1.254784811,sub-111413
7.9311925720000005,7.746163835,8.382156434,8.488472094,7.461387198,7.8104853389999995,7.13004831,7.057116505,6.919791582999999,7.646846603999999,6.232594692999999,7.585373672999999,7.785207576,4.925174652,7.831921068,3.935638286,1.4507496530000001,1.822890514,-0.02533387247,-0.3150653736,sub-111716
5.8764175860000005,6.03618632,5.913615107,5.726405421,6.090458599,6.1729750779999994,5.077593927,5.056747641,7.053178728,6.537563414,5.267216249,6.332540819,5.6583158970000005,5.814083364,1.911498041,2.513262825,3.283884378,4.009900418,0.6560728486999999,-0.34560039090000005,sub-112920
7.807392693,7.921515029,7.494313149,7.982353305,6.981477063,7.701030147000001,7.4682537920000005,6.593116891,7.520642746,7.4207079479999996,5.842344686000001,7.48557312,7.190271435,5.613490468999999,6.076934452000001,5.137476,1.842703573,1.399847293,0.0109821811,2.99920795,sub-113316
9.302080905,9.643794618,9.831855143,8.324086292999999,9.207725497,9.961008589,9.214013413,9.20724911,7.9024124239999995,9.537708712999999,9.899563099,7.524585854,8.590826498,7.857182772000001,5.118242496000001,3.8039529969999997,6.033263005,5.718841542000001,1.021884353,0.8640094718000001,sub-114318
6.5349691960000005,6.885996905,6.657812697000001,6.638693527,6.3263351629999995,6.333187933,6.366467373,6.061280474,5.974787237,6.503931493,5.9038932189999995,5.9692887820000005,6.174071334,5.05262495,4.668778669,4.021815485,1.213563265,1.2568069990000001,-0.7116726129000001,-1.7174123430000001,sub-115219
7.769567294,7.094620318,7.233154409,7.74647944,7.6270505260000006,7.090080171,7.431062267000001,7.395079805,6.653101563,7.4791797,6.897130309,7.0771799070000005,7.410104037999999,6.16434451,4.200072044,4.780860652,2.5603854630000003,3.013334885,0.7927398798,0.1990233818,sub-115320
2.6470134219999997,2.79114153,2.7995160119999998,2.214409991,2.652105267,3.045924189,2.0470283069999997,2.087572148,2.326686299,3.914385492,3.020378113,2.6982517010000002,3.137876155,1.679734375,-0.02443205266,0.6718795944,0.8186519501,2.34592893,1.695733696,4.7273399000000005,sub-116524
8.343756363999999,7.607904445,7.146557973999999,7.618482222999999,7.343393165,8.425991685,7.251285461,7.492942855,7.854217705,7.261123791,7.718822891,6.629503455,7.11367271,5.280859672,4.625530235,3.617211039,7.614904817,5.208891605,2.318295471,3.204059115,sub-117021
8.126514819,7.522535704,7.166182119,8.188204508,7.708629207,7.876610682000001,7.685664941000001,7.351558351,6.795782872,6.9652087620000005,7.562588272,6.832062295,7.128350216,6.901352342000001,5.271113625,4.594599675,4.883769061000001,3.7924722269999998,2.045796311,1.650609938,sub-117930
